Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Right,1,Antenna_Shield,
"C1, C17, C18, C5, C6, C7",0402,6,10µ,
"C10, C16, C4, C8",0402,4,1µ,
"C11, C12, C13, C14, C15, C9",0402,6,100n,
"C2, C3",0402,2,15p,
D2,LED_Cree-PLCC4_2x2mm_CCW,1,WS2812B_Geaendertes_Symbol,C965556
J1,usb-PCB,1,USB_A,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
L2,0402,1,2n2,C2941466
"R1, R2",0402,2,22,
"R3, R4, R5",0402,3,10K,
"SW1, SW2",microswitch,2,SW_Push,C482003
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.5mm,6,TestPoint,
"U1, U3",TSOT-23-5,2,LN1134A332MR,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz,C424431
